time;model_id;model_name;port_name;data
0;244;970269;;2494854, 0, 0, 0, 0.00
0;245;978606;;2516869, 0, 0, 0, 0.00
0;246;969149;;2491858, 0, 0, 0, 0.00
0;247;971778;;2498860, 0, 0, 0, 0.00
0;248;969536;;2492871, 0, 0, 0, 0.00
0;249;969895;;2493855, 0, 0, 0, 0.00
0;250;974037;;2504856, 0, 0, 0, 0.00
0;251;971412;;2497870, 0, 0, 0, 0.00
0;252;969914;;2493874, 0, 0, 0, 0.00
0;253;968782;;2490865, 0, 0, 0, 0.00
0;254;972910;;2501862, 0, 0, 0, 0.00
0;255;970281;;2494866, 0, 0, 0, 0.00
0;256;974803;;2506866, 0, 0, 0, 0.00
0;257;969146;;2491855, 0, 0, 0, 0.00
0;258;968409;;2489866, 0, 0, 0, 0.00
0;259;978997;;2517879, 0, 0, 0, 0.00
0;260;977837;;2514862, 0, 0, 0, 0.00
0;261;969530;;2492865, 0, 0, 0, 0.00
0;262;971789;;2498871, 0, 0, 0, 0.00
0;263;969534;;2492869, 0, 0, 0, 0.00
0;264;971401;;2497859, 0, 0, 0, 0.00
0;265;974813;;2506876, 0, 0, 0, 0.00
0;266;974815;;2506878, 0, 0, 0, 0.00
0;267;975579;;2508883, 0, 0, 0, 0.00
0;268;968784;;2490867, 0, 0, 0, 0.00
0;269;975552;;2508856, 0, 0, 0, 0.00
0;270;976694;;2511860, 0, 0, 0, 0.00
0;271;971405;;2497863, 0, 0, 0, 0.00
0;272;967665;;2487869, 0, 0, 0, 0.00
0;273;968778;;2490861, 0, 0, 0, 0.00
0;274;968418;;2489875, 0, 0, 0, 0.00
0;275;976717;;2511883, 0, 0, 0, 0.00
0;276;968413;;2489870, 0, 0, 0, 0.00
0;277;971793;;2498875, 0, 0, 0, 0.00
0;278;970279;;2494864, 0, 0, 0, 0.00
0;279;968793;;2490876, 0, 0, 0, 0.00
0;280;967293;;2486870, 0, 0, 0, 0.00
0;281;975952;;2509877, 0, 0, 0, 0.00
0;282;967666;;2487870, 0, 0, 0, 0.00
0;283;976326;;2510872, 0, 0, 0, 0.00
0;284;968776;;2490859, 0, 0, 0, 0.00
0;285;971038;;2496872, 0, 0, 0, 0.00
0;286;974434;;2505875, 0, 0, 0, 0.00
0;287;974799;;2506862, 0, 0, 0, 0.00
0;288;975194;;2507877, 0, 0, 0, 0.00
0;289;968775;;2490858, 0, 0, 0, 0.00
0;290;968777;;2490860, 0, 0, 0, 0.00
0;291;975944;;2509869, 0, 0, 0, 0.00
0;292;971418;;2497876, 0, 0, 0, 0.00
0;293;968407;;2489864, 0, 0, 0, 0.00
0;294;968417;;2489874, 0, 0, 0, 0.00
0;295;976314;;2510860, 0, 0, 0, 0.00
0;296;973665;;2503862, 0, 0, 0, 0.00
0;297;970271;;2494856, 0, 0, 0, 0.00
0;298;977462;;2513868, 0, 0, 0, 0.00
0;299;976701;;2511867, 0, 0, 0, 0.00
0;300;973671;;2503868, 0, 0, 0, 0.00
0;301;977097;;2512883, 0, 0, 0, 0.00
0;302;975180;;2507863, 0, 0, 0, 0.00
0;303;977464;;2513870, 0, 0, 0, 0.00
0;304;976704;;2511870, 0, 0, 0, 0.00
0;305;968411;;2489868, 0, 0, 0, 0.00
0;306;971020;;2496854, 0, 0, 0, 0.00
0;307;969148;;2491857, 0, 0, 0, 0.00
0;308;969521;;2492856, 0, 0, 0, 0.00
0;309;969539;;2492874, 0, 0, 0, 0.00
0;310;970654;;2495864, 0, 0, 0, 0.00
